downtime_id,batch_id,factor_id,downtime_minutes
D00001,B0002,F01,23
D00002,B0003,F05,13
D00003,B0003,F01,24
D00004,B0004,F01,28
D00005,B0004,F06,17
D00006,B0004,F02,44
D00007,B0005,F06,27
D00008,B0006,F04,17
D00009,B0008,F01,28
D00010,B0008,F02,14
D00011,B0009,F02,23
D00012,B0010,F01,13
D00013,B0010,F05,14
D00014,B0011,F07,14
D00015,B0011,F03,18
D00016,B0011,F06,25
D00017,B0012,F06,12
D00018,B0012,F08,16
D00019,B0013,F02,22
D00020,B0013,F01,7
D00021,B0015,F01,13
D00022,B0016,F01,28
D00023,B0018,F02,27
D00024,B0018,F08,28
D00025,B0021,F06,20
D00026,B0022,F05,13
D00027,B0023,F04,12
D00028,B0024,F03,21
D00029,B0024,F01,22
D00030,B0024,F06,18
D00031,B0025,F06,17
D00032,B0026,F01,36
D00033,B0026,F05,14
D00034,B0027,F03,18
D00035,B0027,F07,30
D00036,B0028,F02,23
D00037,B0030,F07,20
D00038,B0030,F08,27
D00039,B0032,F07,17
D00040,B0035,F07,14
D00041,B0037,F02,13
D00042,B0038,F06,21
D00043,B0038,F07,11
D00044,B0038,F04,15
D00045,B0039,F01,29
D00046,B0040,F08,30
D00047,B0041,F06,28
D00048,B0042,F06,25
D00049,B0043,F01,19
D00050,B0043,F04,8
D00051,B0044,F03,21
D00052,B0045,F01,16
D00053,B0046,F06,20
D00054,B0047,F01,22
D00055,B0047,F04,7
D00056,B0048,F07,18
D00057,B0049,F01,40
D00058,B0050,F02,19
D00059,B0051,F06,8
D00060,B0052,F02,21
D00061,B0054,F06,15
D00062,B0054,F01,35
D00063,B0055,F08,22
D00064,B0056,F01,28
D00065,B0056,F03,3
D00066,B0059,F04,10
D00067,B0059,F01,25
D00068,B0060,F02,13
D00069,B0062,F03,7
D00070,B0064,F01,34
D00071,B0065,F07,23
D00072,B0065,F03,9
D00073,B0066,F02,14
D00074,B0066,F03,16
D00075,B0067,F07,13
D00076,B0069,F03,12
D00077,B0070,F01,17
D00078,B0071,F06,19
D00079,B0071,F04,5
D00080,B0071,F02,13
D00081,B0072,F04,17
D00082,B0072,F03,17
D00083,B0075,F08,29
D00084,B0076,F02,25
D00085,B0076,F05,5
D00086,B0077,F04,16
D00087,B0078,F08,21
D00088,B0078,F04,8
D00089,B0080,F03,11
D00090,B0080,F06,23
D00091,B0081,F04,12
D00092,B0082,F01,16
D00093,B0082,F02,14
D00094,B0082,F03,9
D00095,B0083,F01,16
D00096,B0083,F04,6
D00097,B0085,F04,15
D00098,B0086,F03,16
D00099,B0086,F05,12
D00100,B0089,F04,7
D00101,B0090,F02,22
D00102,B0090,F01,28
D00103,B0091,F06,9
D00104,B0091,F05,9
D00105,B0093,F06,9
D00106,B0094,F04,10
D00107,B0095,F06,20
D00108,B0096,F01,21
D00109,B0097,F04,3
D00110,B0097,F03,15
D00111,B0097,F02,13
D00112,B0100,F01,37
D00113,B0101,F06,16
D00114,B0102,F01,30
D00115,B0103,F02,23
D00116,B0103,F07,14
D00117,B0103,F01,35
D00118,B0104,F05,14
D00119,B0105,F01,18
D00120,B0105,F03,17
D00121,B0106,F01,19
D00122,B0106,F04,12
D00123,B0107,F07,16
D00124,B0107,F08,24
D00125,B0108,F08,24
D00126,B0109,F02,13
D00127,B0109,F04,11
D00128,B0111,F04,11
D00129,B0111,F02,10
D00130,B0111,F03,12
D00131,B0112,F06,10
D00132,B0112,F03,19
D00133,B0112,F08,17
D00134,B0113,F03,10
D00135,B0113,F06,22
D00136,B0114,F01,36
D00137,B0115,F04,13
D00138,B0116,F05,5
D00139,B0116,F08,14
D00140,B0120,F03,14
D00141,B0121,F01,38
D00142,B0122,F01,41
D00143,B0125,F01,28
D00144,B0126,F08,8
D00145,B0126,F02,13
D00146,B0126,F03,18
D00147,B0129,F07,15
D00148,B0131,F01,19
D00149,B0132,F04,11
D00150,B0132,F01,29
D00151,B0133,F03,13
D00152,B0133,F07,17
D00153,B0134,F01,23
D00154,B0135,F01,3
D00155,B0138,F08,21
D00156,B0138,F01,39
D00157,B0139,F03,17
D00158,B0139,F04,7
D00159,B0139,F08,3
D00160,B0140,F07,12
D00161,B0141,F03,22
D00162,B0142,F06,21
D00163,B0143,F03,13
D00164,B0146,F01,32
D00165,B0147,F08,25
D00166,B0149,F05,12
D00167,B0151,F04,11
D00168,B0152,F01,15
D00169,B0153,F02,17
D00170,B0153,F05,9
D00171,B0154,F03,10
D00172,B0154,F02,39
D00173,B0155,F01,25
D00174,B0156,F02,33
D00175,B0157,F03,11
D00176,B0157,F01,16
D00177,B0158,F07,10
D00178,B0160,F03,3
D00179,B0161,F04,8
D00180,B0161,F08,29
D00181,B0162,F04,7
D00182,B0163,F04,11
D00183,B0164,F05,16
D00184,B0165,F05,13
D00185,B0167,F01,20
D00186,B0168,F01,22
D00187,B0169,F03,28
D00188,B0170,F05,20
D00189,B0170,F08,16
D00190,B0171,F01,30
D00191,B0171,F06,19
D00192,B0173,F03,23
D00193,B0173,F02,21
D00194,B0173,F05,9
D00195,B0176,F07,7
D00196,B0177,F05,17
D00197,B0178,F04,7
D00198,B0179,F08,28
D00199,B0182,F04,8
D00200,B0183,F02,25
D00201,B0184,F04,9
D00202,B0186,F06,14
D00203,B0187,F03,12
D00204,B0188,F03,17
D00205,B0188,F07,15
D00206,B0191,F04,14
D00207,B0191,F02,18
D00208,B0192,F01,22
D00209,B0194,F02,17
D00210,B0194,F06,18
D00211,B0196,F04,10
D00212,B0196,F05,12
D00213,B0196,F01,24
D00214,B0198,F06,11
D00215,B0198,F01,10
D00216,B0199,F05,14
D00217,B0201,F05,13
D00218,B0202,F02,16
D00219,B0203,F03,17
D00220,B0204,F05,14
D00221,B0205,F07,22
D00222,B0205,F01,27
D00223,B0206,F02,18
D00224,B0206,F03,19
D00225,B0206,F04,7
D00226,B0207,F04,10
D00227,B0208,F04,11
D00228,B0208,F03,15
D00229,B0209,F05,12
D00230,B0211,F02,3
D00231,B0212,F03,21
D00232,B0213,F07,18
D00233,B0214,F03,18
D00234,B0214,F01,25
D00235,B0215,F03,8
D00236,B0216,F06,14
D00237,B0217,F05,12
D00238,B0217,F06,18
D00239,B0219,F06,17
D00240,B0221,F01,38
D00241,B0221,F05,10
D00242,B0222,F05,11
D00243,B0222,F06,26
D00244,B0223,F06,6
D00245,B0224,F02,13
D00246,B0224,F07,20
D00247,B0224,F03,17
D00248,B0225,F04,5
D00249,B0228,F03,18
D00250,B0229,F05,11
D00251,B0230,F07,5
D00252,B0231,F04,5
D00253,B0232,F08,27
D00254,B0232,F02,25
D00255,B0233,F03,15
D00256,B0234,F08,39
D00257,B0236,F06,10
D00258,B0236,F03,10
D00259,B0237,F04,12
D00260,B0238,F02,16
D00261,B0239,F01,22
D00262,B0239,F04,11
D00263,B0240,F03,21
D00264,B0241,F02,12
D00265,B0243,F04,12
D00266,B0244,F04,8
D00267,B0245,F07,15
D00268,B0245,F05,21
D00269,B0246,F03,10
D00270,B0248,F07,16
D00271,B0249,F05,17
D00272,B0250,F02,22
D00273,B0250,F07,19
D00274,B0252,F03,8
D00275,B0253,F02,30
D00276,B0253,F07,19
D00277,B0253,F01,31
D00278,B0254,F01,30
D00279,B0256,F04,4
D00280,B0260,F01,18
D00281,B0261,F05,18
D00282,B0263,F03,21
D00283,B0264,F04,4
D00284,B0266,F01,6
D00285,B0267,F01,19
D00286,B0268,F01,21
D00287,B0269,F06,15
D00288,B0270,F03,14
D00289,B0270,F04,5
D00290,B0271,F08,19
D00291,B0272,F05,14
D00292,B0273,F05,13
D00293,B0273,F03,6
D00294,B0274,F04,11
D00295,B0274,F01,27
D00296,B0275,F01,24
D00297,B0275,F05,10
D00298,B0277,F05,15
D00299,B0277,F06,18
D00300,B0278,F03,13
D00301,B0279,F05,13
D00302,B0280,F02,23
D00303,B0281,F03,8
D00304,B0281,F01,40
D00305,B0281,F02,22
D00306,B0282,F02,16
D00307,B0283,F05,9
D00308,B0284,F03,13
D00309,B0284,F07,3
D00310,B0285,F02,7
D00311,B0285,F06,25
D00312,B0289,F05,15
D00313,B0290,F08,13
D00314,B0292,F05,4
D00315,B0293,F06,24
D00316,B0294,F05,16
D00317,B0296,F01,19
D00318,B0298,F04,9
D00319,B0299,F01,16
D00320,B0301,F01,28
D00321,B0301,F04,3
D00322,B0302,F06,26
D00323,B0303,F07,23
D00324,B0304,F03,15
D00325,B0305,F02,26
D00326,B0307,F01,26
D00327,B0309,F01,12
D00328,B0309,F04,17
D00329,B0310,F03,15
D00330,B0310,F04,12
D00331,B0314,F01,17
D00332,B0315,F04,10
D00333,B0319,F08,21
D00334,B0319,F03,14
D00335,B0320,F02,32
D00336,B0321,F05,11
D00337,B0323,F02,10
D00338,B0324,F04,8
D00339,B0326,F04,10
D00340,B0326,F01,17
D00341,B0327,F07,11
D00342,B0327,F05,11
D00343,B0329,F05,14
D00344,B0330,F03,21
D00345,B0330,F01,10
D00346,B0331,F04,10
D00347,B0331,F08,12
D00348,B0332,F03,22
D00349,B0332,F06,22
D00350,B0333,F06,21
D00351,B0334,F08,22
D00352,B0336,F06,12
D00353,B0337,F05,7
D00354,B0338,F07,18
D00355,B0339,F05,21
D00356,B0339,F08,21
D00357,B0340,F05,5
D00358,B0341,F03,15
D00359,B0342,F08,25
D00360,B0344,F04,10
D00361,B0345,F03,16
D00362,B0347,F03,15
D00363,B0347,F01,15
D00364,B0351,F08,13
D00365,B0352,F06,9
D00366,B0353,F01,13
D00367,B0354,F06,21
D00368,B0354,F07,11
D00369,B0356,F05,16
D00370,B0356,F03,5
D00371,B0357,F06,20
D00372,B0357,F02,20
D00373,B0358,F06,16
D00374,B0359,F05,21
D00375,B0359,F04,8
D00376,B0360,F01,28
D00377,B0361,F07,11
D00378,B0361,F08,28
D00379,B0362,F03,32
D00380,B0362,F01,34
D00381,B0363,F06,17
D00382,B0364,F02,30
D00383,B0366,F06,10
D00384,B0368,F01,29
D00385,B0368,F02,24
D00386,B0369,F03,7
