batch_id,date,product_id,operator,shift,start_time,end_time,actual_batch_time_min,quantity_produced
B0001,2026-01-17,P002,OP05,Night,22:40:00,23:45:00,65,1024
B0002,2026-05-10,P001,OP05,Afternoon,13:40:00,14:49:00,69,1270
B0003,2026-04-09,P001,OP03,Afternoon,13:40:00,14:36:00,56,1279
B0004,2026-05-07,P005,OP03,Night,21:00:00,22:17:00,77,768
B0005,2026-04-09,P004,OP01,Afternoon,13:20:00,14:23:00,63,1153
B0006,2026-05-25,P001,OP02,Afternoon,13:40:00,14:37:00,57,1258
B0007,2026-04-24,P002,OP05,Afternoon,12:40:00,13:40:00,60,1210
B0008,2026-04-26,P001,OP01,Morning,07:40:00,08:45:00,65,1256
B0009,2026-04-11,P003,OP03,Morning,08:30:00,09:40:00,70,1122
B0010,2026-01-15,P003,OP05,Afternoon,12:20:00,13:25:00,65,1271
B0011,2026-06-27,P002,OP02,Night,22:10:00,23:00:00,50,1117
B0012,2026-03-20,P003,OP04,Afternoon,14:10:00,15:14:00,64,1172
B0013,2026-03-02,P001,OP01,Afternoon,13:00:00,14:06:00,66,1157
B0014,2026-04-01,P002,OP05,Morning,08:00:00,08:55:00,55,1192
B0015,2026-03-04,P005,OP01,Night,20:40:00,21:54:00,74,765
B0016,2026-02-17,P002,OP05,Morning,06:10:00,07:01:00,51,1169
B0017,2026-05-11,P003,OP02,Morning,07:20:00,08:12:00,52,1206
B0018,2026-02-25,P003,OP04,Afternoon,12:20:00,13:13:00,53,1216
B0019,2026-02-04,P001,OP02,Morning,07:30:00,08:25:00,55,1142
B0020,2026-03-22,P003,OP03,Morning,07:00:00,07:52:00,52,1108
B0021,2026-02-19,P003,OP03,Night,22:10:00,23:03:00,53,1008
B0022,2026-04-09,P002,OP04,Morning,08:30:00,09:35:00,65,1214
B0023,2026-02-27,P003,OP01,Morning,09:00:00,10:02:00,62,1359
B0024,2026-04-22,P001,OP06,Morning,07:40:00,08:38:00,58,1391
B0025,2026-06-24,P005,OP02,Morning,09:00:00,10:19:00,79,796
B0026,2026-04-07,P002,OP01,Night,20:50:00,21:49:00,59,1342
B0027,2026-01-21,P002,OP04,Afternoon,12:40:00,13:35:00,55,1299
B0028,2026-03-10,P005,OP02,Morning,09:10:00,10:42:00,92,955
B0029,2026-03-08,P005,OP04,Morning,07:30:00,08:44:00,74,857
B0030,2026-03-20,P001,OP01,Morning,09:30:00,10:34:00,64,1257
B0031,2026-06-17,P003,OP05,Morning,06:00:00,06:58:00,58,1282
B0032,2026-03-20,P005,OP01,Morning,08:50:00,10:08:00,78,890
B0033,2026-04-05,P005,OP02,Morning,09:00:00,10:22:00,82,815
B0034,2026-05-16,P005,OP03,Afternoon,13:40:00,14:54:00,74,774
B0035,2026-06-03,P001,OP01,Afternoon,13:30:00,14:28:00,58,1006
B0036,2026-06-18,P003,OP06,Morning,09:20:00,10:14:00,54,1191
B0037,2026-04-07,P001,OP02,Afternoon,12:30:00,13:46:00,76,1461
B0038,2026-03-06,P005,OP01,Morning,08:10:00,09:28:00,78,869
B0039,2026-04-15,P001,OP01,Morning,09:30:00,10:31:00,61,1220
B0040,2026-04-04,P002,OP05,Morning,09:00:00,09:58:00,58,1200
B0041,2026-03-31,P001,OP02,Morning,07:20:00,08:34:00,74,1234
B0042,2026-06-17,P001,OP04,Afternoon,12:50:00,13:55:00,65,1243
B0043,2026-05-25,P005,OP06,Afternoon,14:00:00,15:22:00,82,804
B0044,2026-05-30,P003,OP04,Night,20:10:00,21:02:00,52,1178
